Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Núcleo de Atletismo de Vila Real,Vila Real,Vila Real,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,35,14
Núcleo de Atletismo e Recreio de Messejana,Beja,Aljustrel,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,10,8
Núcleo de Aventura e Desporto de Albergaria dos Doze,Leiria,Pombal,Orientação_Orientação,Orientação,Orientação,2012 / 2013,12,1
Núcleo de Basket da Associação de Basquetebol de Santa Maria,Açores,Vila do Porto,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,46,45
Núcleo de Basquetebol de Queluz,Lisboa,Sintra,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,134,62
Núcleo de Basquetebol de Queluz,Lisboa,Sintra,Columbofilia_Columbofilia,Columbofilia,Columbofilia,2012 / 2013,13,0
Núcleo de Basquetebol de Queluz,Lisboa,Sintra,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,2,20
Núcleo de Basquetebol de Queluz,Lisboa,Sintra,Judo_Judo,Judo,Judo,2012 / 2013,24,1
Núcleo de Basquetebol de Queluz,Lisboa,Sintra,Tiro com Arco_Tiro com Arco,Tiro com Arco,Tiro com Arco,2012 / 2013,1,0
Núcleo de Bicross de Setúbal,Setúbal,Setúbal,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,21,6
Núcleo de Bridge Centro Engenheiro Álvaro de Sousa,Lisboa,Cascais,Bridge_Bridge,Bridge,Bridge,2012 / 2013,12,27
Núcleo de Cicloturismo da Associação Humanitária dos Bombeiros Voluntários de Samora Correia,Santarém,Benavente,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,17,2
Núcleo de Cicloturismo da Bairrada,Aveiro,Anadia,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,12,0
Núcleo de Cicloturismo da Senhora Aparecida,Porto,Lousada,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,12,0
Núcleo de Cicloturismo de Luz de Tavira,Faro,Tavira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,0
Núcleo de Corfebol de Benfica,Lisboa,Lisboa,Corfebol_Corfebol,Corfebol,Corfebol,s/d,0,0
Núcleo de Desporto da Escola Tomás Cabreira,Faro,Faro,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,22,15
Núcleo de Desporto e Cultura de Gouveia,Guarda,Gouveia,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,6,8
Núcleo de Judo do Porto,Porto,Porto,Judo_Judo,Judo,Judo,2012 / 2013,22,4
Núcleo de Juventude do Concelho de Proença-a-Nova,Castelo Branco,Proença-A-Nova,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,15
Núcleo de Karate Shotokan de Lisboa,Lisboa,Lisboa,Karate_Karate,Karate,Karate,2012 / 2013,4,0
Núcleo de Surfistas do Guincho,Lisboa,Cascais,Surf_Surf,Surf,Surf,2012 / 2013,13,5
Núcleo de Taekwondo de Agualva - Cacém,Lisboa,Sintra,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,21,3
Núcleo de Xadrez da Escola Básica da Ponte,Porto,Santo Tirso,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,11,2
Núcleo de Xadrez de Santo Tirso,Porto,Santo Tirso,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,13,1
Núcleo de Xadrez do Externato Cooperativo da Benedita,Leiria,Alcobaça,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,7,1
