Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Centro de Cultura e Desporto dos Trabalhadores dos Horários do Funchal,Madeira,Funchal,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,22,5
Centro de Cultura e Desporto dos Trabalhadores dos Horários do Funchal,Madeira,Funchal,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,10,0
Centro de Cultura e Desporto dos Trabalhadores dos Horários do Funchal,Madeira,Funchal,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,9,0
Centro de Cultura e Desporto Escola de Judo de Pombal,Leiria,Pombal,Judo_Judo,Judo,Judo,2012 / 2013,47,7
Centro de Cultura e Desporto Judo Clube de Coimbra,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,118,24
Centro de Cultura e Desporto Pragal/Almada,Setúbal,Almada,Judo_Judo,Judo,Judo,2012 / 2013,75,25
Centro de Cultura e Desporto Sintrense,Lisboa,Sintra,Ténis_Ténis,Ténis,Ténis,2012 / 2013,5,2
Centro de Cultura e Desporto Sintrense,Lisboa,Sintra,Tiro com Arco_Tiro com Arco,Tiro com Arco,Tiro com Arco,2012 / 2013,10,0
Centro de Cultura Popular de Santa Engrácia,Lisboa,Lisboa,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
Centro de Cultura Popular de Santa Engrácia,Lisboa,Lisboa,Karate_Karate,Karate,Karate,2012 / 2013,5,8
Centro de Cultura Popular de Serpa,Beja,Serpa,Andebol_Andebol,Andebol,Andebol,2012 / 2013,71,1
Centro de Desporto Equestre - Monte de Santa Luzia,Faro,Portimão,Equestre_Equestre,Equestre,Equestre,2012 / 2013,6,11
Centro de Desporto Cultura e Recreio do Pessoal dos CTT - Almada,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,19,5
Centro de Desporto Cultura e Recreio dos CTT,Madeira,Funchal,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,10,0
Centro de Desporto Cultura e Recreio dos CTT,Madeira,Funchal,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,4,0
Centro de Desporto Cultura e Recreio dos CTT,Madeira,Funchal,Ténis_Ténis,Ténis,Ténis,2012 / 2013,2,0
Centro de Desporto Cultura e Solidariedade Social do Pinheiro,Guarda,Guarda,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Centro de Educação Especial Reabilitação e Integração de Alcobaça,Leiria,Alcobaça,FPDD_FPDD,FPDD,FPDD,2012 / 2013,22,14
Centro de Estudos ATL - Azeméis Lda.,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,1
Centro de Estudos de Fátima,Santarém,Ourém,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,1,0
Centro de Estudos Ferreira de Castro,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,14
Centro de Gira Volei de Midões,Braga,Barcelos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,4
Centro de Incentivo Cultural de Lobão,Aveiro,Santa Maria da Feira,Damas_Damas,Damas,Damas,s/d,0,0
Centro de Instrução e Recreio de Torre de Bera,Coimbra,Coimbra,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,13,0
Centro de Judo de Montemor-o-Novo,Évora,Montemor-o-Novo,Judo_Judo,Judo,Judo,2012 / 2013,7,0
Centro de Karate de Lisboa,Lisboa,Lisboa,Karate_Karate,Karate,Karate,2012 / 2013,14,0
Centro de Karate Shotokan - Colégio Rio,Faro,Portimão,Karate_Karate,Karate,Karate,2012 / 2013,10,1
Centro de Paralisia Cerebral de Beja,Beja,Beja,FPDD_FPDD,FPDD,FPDD,2012 / 2013,2,1
Centro de Reabilitação e Integração Torrejano,Santarém,Torres Novas,FPDD_FPDD,FPDD,FPDD,2012 / 2013,4,0
Centro de Recreio Camiliano,Braga,Vila Nova de Famalicão,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,53,2
Centro de Recreio Popular da Freguesia de Lavra,Porto,Matosinhos,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,40,0
Centro de Recreio Popular da Povoação de Barrosas,Porto,Felgueiras,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,15,0
Centro de Recreio Popular de Arnelas,Porto,Vila Nova de Gaia,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,24,9
Centro de Recreio Popular de Belazaima,Aveiro,Águeda,Futebol_Futsal,Futebol,Futsal,2012 / 2013,21,0
Centro de Recreio Popular de Formoselha - Associação Cultural Desportiva e Social,Coimbra,Montemor-o-Velho,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,20,1
Centro de Recreio Popular de Rio Mau,Porto,Penafiel,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,13,0
Centro de Recreio Popular de Santiago,Porto,Penafiel,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,8,0
Centro de Recreio Popular do Bairro da Calçada dos Mestres,Lisboa,Lisboa,Karate_Karate,Karate,Karate,2012 / 2013,13,1
Centro de Recuperação de Crianças Deficientes e Inadaptadas de Oliveira de Azeméis CRL,Aveiro,Oliveira de Azeméis,FPDD_FPDD,FPDD,FPDD,2012 / 2013,6,2
Centro de Solidariedade Social de Pinhal de Frades,Setúbal,Seixal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,26,8
Centro de Solidariedade Social de Pinhal de Frades,Setúbal,Seixal,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,16
Centro de Ténis da Quinta da Marinha,Lisboa,Cascais,Ténis_Ténis,Ténis,Ténis,2012 / 2013,30,7
Centro de Ténis de Belas - Fastsports,Lisboa,Sintra,Ténis_Ténis,Ténis,Ténis,2012 / 2013,5,0
Centro de Ténis de Faro,Faro,Faro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,133,57
Centro de Ténis de Monsanto - Escola de Ténis,Lisboa,Lisboa,Ténis_Ténis,Ténis,Ténis,2012 / 2013,7,1
Centro de Ténis Joaquim Alho,Santarém,Alcanena,Ténis_Ténis,Ténis,Ténis,2012 / 2013,1,0
Centro de Treino de Boccia Municipal de Oliveira de Azeméis,Aveiro,Oliveira de Azeméis,FPDD_FPDD,FPDD,FPDD,2012 / 2013,6,3
Centro de Treino de Mar,Madeira,Funchal,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,25,1
Centro de Treino de Mar,Madeira,Funchal,Surf_Surf,Surf,Surf,2012 / 2013,10,3
Centro de Treino de Mar,Madeira,Funchal,Vela_Vela,Vela,Vela,2012 / 2013,33,11
Centro de Treino Municipal de Vila Pouca de Aguiar,Vila Real,Vila Pouca de Aguiar,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,18,13
Centro de Treino Municipal de Vila Pouca de Aguiar,Vila Real,Vila Pouca de Aguiar,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,38,34
Centro de Voleibol de Lisboa,Lisboa,Lisboa,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,56
Centro Desportivo Alverca Volei,Lisboa,Vila Franca de Xira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,38
Centro Desportivo de Fátima,Santarém,Ourém,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,119,0
Centro Desportivo de Fátima,Santarém,Ourém,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,115,0
Centro Desportivo de Fátima,Santarém,Ourém,Futebol_Futsal,Futebol,Futsal,2012 / 2013,37,20
Centro Desportivo de Quarteira,Faro,Loulé,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,45,30
Centro Desportivo de São Bernardo,Aveiro,Aveiro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,41,17
Centro Desportivo e Cultural da Biquinha,Porto,Matosinhos,Futebol_Futsal,Futebol,Futsal,2012 / 2013,29,1
Centro Desportivo e Cultural da Campeã,Vila Real,Vila Real,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,24,0
Centro Desportivo e Cultural de Faiões,Vila Real,Chaves,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,8,0
Centro Desportivo e Cultural de Montalegre,Vila Real,Montalegre,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,26,0
Centro Desportivo e Cultural de Montalegre,Vila Real,Montalegre,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,18,0
Centro Desportivo e Cultural de Montalegre,Vila Real,Montalegre,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,0
Centro Desportivo e Cultural de Navais,Porto,Póvoa de Varzim,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,35,33
Centro Desportivo e Cultural de Navais,Porto,Póvoa de Varzim,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,37,8
Centro Desportivo e Cultural de Santana,Porto,Maia,Andebol_Andebol,Andebol,Andebol,2012 / 2013,86,0
Centro Desportivo e Cultural de Santana,Porto,Maia,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,15
Centro Desportivo e Cultural de São Martinho de Gândara,Aveiro,Oliveira de Azeméis,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,15,0
Centro Desportivo e Cultural de São Martinho de Gândara,Aveiro,Oliveira de Azeméis,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,8,0
Centro Desportivo e Cultural de São Paio de Oleiros,Aveiro,Santa Maria da Feira,Andebol_Andebol,Andebol,Andebol,2012 / 2013,126,0
Centro Desportivo e Cultural de Viatodos,Braga,Barcelos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,27,0
Centro Desportivo e Recreativo de Belmonte,Castelo Branco,Belmonte,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,8,0
Centro Desportivo e Recreativo do Passal,Porto,Gondomar,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,11,0
Centro Desportivo Quinta das Raposeiras,Faro,Faro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,14,7
Centro Desportivo São Bernardo,Aveiro,Aveiro,Andebol_Andebol,Andebol,Andebol,2012 / 2013,135,37
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,31,35
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Bridge_Bridge,Bridge,Bridge,2012 / 2013,5,3
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,2,0
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Judo_Judo,Judo,Judo,2012 / 2013,10,4
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Rugby_Rugby,Rugby,Rugby,2012 / 2013,363,1
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Rugby_Rugby 13,Rugby,Rugby 13,s/d,0,0
Centro Desportivo Universitário de Lisboa,Lisboa,Lisboa,Rugby_Rugby 7,Rugby,Rugby 7,s/d,0,0
Centro Desportivo Universitário do Porto,Porto,Porto,Bridge_Bridge,Bridge,Bridge,2012 / 2013,28,12
Centro Desportivo Universitário do Porto,Porto,Porto,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,4,0
Centro Desportivo Universitário do Porto,Porto,Porto,Natação_Polo Aquático,Natação,Polo Aquático,2012 / 2013,43,1
Centro Desportivo Universitário do Porto,Porto,Porto,Remo_Remo,Remo,Remo,2012 / 2013,8,5
Centro Desportivo Universitário do Porto,Porto,Porto,Rugby_Rugby,Rugby,Rugby,2012 / 2013,305,0
Centro Desportivo Universitário do Porto,Porto,Porto,Rugby_Rugby 13,Rugby,Rugby 13,s/d,0,0
Centro Desportivo Universitário do Porto,Porto,Porto,Rugby_Rugby 7,Rugby,Rugby 7,s/d,0,0
Centro Desportivo Cultural e Recreativo de São Jorge,Madeira,Calheta (Madeira),Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,3,0
Centro Desportivo Recreativo e Cultural de Vila Velha de Ródão,Castelo Branco,Vila Velha de Ródão,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Centro Desportivo Recreativo e Cultural de Vila Velha de Ródão,Castelo Branco,Vila Velha de Ródão,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,6,0
Centro Desportivo Social e Cultural do Cercal,Santarém,Ourém,Futebol_Futsal,Futebol,Futsal,2012 / 2013,13,0
Centro dos Antigos Alunos Salesianos,Porto,Porto,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,134,5
"Centro Equestre ""O Ilhéu""",Açores,Angra do Heroísmo,Equestre_Equestre,Equestre,Equestre,2012 / 2013,4,5
Centro Equestre da Herdade do Outeiro,Évora,Portel,Equestre_Equestre,Equestre,Equestre,2012 / 2013,2,1
Centro Equestre da Leziria Grande,Lisboa,Vila Franca de Xira,Equestre_Equestre,Equestre,Equestre,2012 / 2013,8,7
Centro Equestre da Maia,Porto,Maia,Equestre_Equestre,Equestre,Equestre,2012 / 2013,10,22
Centro Equestre da Quinta do Senhor da Serra,Lisboa,Sintra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,24,54
Centro Equestre de Abrantes,Santarém,Abrantes,Equestre_Equestre,Equestre,Equestre,2012 / 2013,2,2
Centro Equestre de Santo André,Setúbal,Santiago do Cacém,Equestre_Equestre,Equestre,Equestre,2012 / 2013,10,15
Centro Equestre do Sol Lda.,Braga,Esposende,Equestre_Equestre,Equestre,Equestre,2012 / 2013,6,2
Centro Equestre Francisco Alcaide,Leiria,Leiria,Equestre_Equestre,Equestre,Equestre,2012 / 2013,5,5
Centro Equestre Internacional de Alfeizerão Lda.,Leiria,Alcobaça,Equestre_Equestre,Equestre,Equestre,2012 / 2013,6,11
Centro Equestre Loureiro,Beja,Vidigueira,Equestre_Equestre,Equestre,Equestre,2012 / 2013,44,67
Centro Equestre Luis Real,Leiria,Alcobaça,Equestre_Equestre,Equestre,Equestre,2012 / 2013,13,9
Centro Equestre Lusitanus,Santarém,Golegã,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,7
Centro Equestre Mansos e Companhia,Setúbal,Almada,Equestre_Equestre,Equestre,Equestre,2012 / 2013,3,7
Centro Equestre Monte dos Duques,Santarém,Benavente,Equestre_Equestre,Equestre,Equestre,2012 / 2013,10,5
Centro Equestre Quinta do Cabrito Lda.,Santarém,Abrantes,Equestre_Equestre,Equestre,Equestre,2012 / 2013,15,9
Centro Equestre Quinta do Cestelo - Ex. Joaquim M. S. Nogueira,Porto,Vila do Conde,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,3
Centro Equestre Terceirense - Quinta do Malhinha,Açores,Angra do Heroísmo,Equestre_Equestre,Equestre,Equestre,2012 / 2013,11,39
Centro Escola Ténis de Almada,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,34,12
Centro Escolar D.Gualdim Pais,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,42,29
Centro Escolar de Anões - Junqueira,Aveiro,Vale de Cambra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,11
Centro Escolar de Antas,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,9
Centro Escolar de Bouro,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,23,13
Centro Escolar de Cabeça Santa,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,48,39
Centro Escolar de Caldelas,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,23
Centro Escolar de Campelo,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,48
Centro Escolar de Celorico de Basto,Braga,Celorico de Basto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,19
Centro Escolar de Fão,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,26
Centro Escolar de Ferreiros,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,47,49
Centro Escolar de Gandra,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,166,174
Centro Escolar de Mouriz,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,206,183
Centro Escolar de Paços de Ferreira,Porto,Paços de Ferreira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,38,40
Centro Escolar de Paredes,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,49,50
Centro Escolar de Rans,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,27,36
Centro Escolar de Resende,Viseu,Resende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,33,33
Centro Escolar de Ribeirão,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,1
Centro Escolar de Roriz,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,20
Centro Escolar de São Martinho de Mouros,Viseu,Resende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,7
Centro Escolar de Vale do Cávado,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,6
Centro Escolar de Vilar do Torno e Alentem,Porto,Lousada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,71,54
Centro Escolar de Vilela,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,206,206
Centro Escolar do Douro,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,44,38
Centro Escolar do Louro,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,139,87
Centro Escolar do Vale do Homem,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,13
Centro Escolar Escola Básica 1 de Arouca,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,62
Centro Escolar Escola Básica 1 de São João de Vér,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,2
Centro Escolar Escola Básica 1 do Bacelo,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,4
Centro Escolar Luis de Camões,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,83,91
Centro Escolar Mondim Oeste,Vila Real,Mondim de Basto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,44,49
Centro Escolar Republicano Tenente Valdez,Lisboa,Odivelas,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,174,0
Centro Escolar Republicano Tenente Valdez,Lisboa,Odivelas,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,123,0
Centro Especial de Educação de Bragança,Bragança,Bragança,FPDD_FPDD,FPDD,FPDD,2012 / 2013,5,0
Centro Gira de Sequeirô,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,36
Centro Gira Volei de Quintão - Palmeira,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,29,30
Centro Hellen Keller,Lisboa,Lisboa,Basquetebol_Basquetebol,Basquetebol,Basquetebol,s/d,0,0
"Centro Hípico ""O Montinho""",Santarém,Coruche,Equestre_Equestre,Equestre,Equestre,2012 / 2013,4,1
Centro Hípico Cavalo Amigo,Coimbra,Figueira da Foz,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,1
Centro Hípico da Costa do Estoril,Lisboa,Cascais,Equestre_Equestre,Equestre,Equestre,2012 / 2013,12,18
Centro Hípico da Feira - Cavalos & Companhia,Aveiro,Santa Maria da Feira,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,10
Centro Hípico da Gondolandia,Porto,Gondomar,Equestre_Equestre,Equestre,Equestre,2012 / 2013,16,24
Centro Hípico da Guia - Hugo Tavares Lda.,Leiria,Pombal,Equestre_Equestre,Equestre,Equestre,2012 / 2013,3,3
Centro Hípico da Ilha Terceira,Açores,Angra do Heroísmo,Equestre_Equestre,Equestre,Equestre,2012 / 2013,16,28
Centro Hípico da Quinta (Santa Maria da Feira),Aveiro,Santa Maria da Feira,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,0
Centro Hípico da Quinta da Granja,Porto,Felgueiras,Equestre_Equestre,Equestre,Equestre,2012 / 2013,4,6
Centro Hípico da Quinta do Pinheiro,Leiria,Nazaré,Equestre_Equestre,Equestre,Equestre,2012 / 2013,2,3
Centro Hípico da Sobreda Lda.,Setúbal,Almada,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,1
Centro Hípico de Alcaria Lda.,Leiria,Porto de Mós,Equestre_Equestre,Equestre,Equestre,2012 / 2013,8,10
Centro Hípico de Coimbra,Coimbra,Coimbra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,32,28
Centro Hípico de Gondomar,Porto,Gondomar,Equestre_Equestre,Equestre,Equestre,2012 / 2013,32,64
Centro Hípico de Miranda do Corvo,Coimbra,Coimbra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,1
Centro Hípico de Montebelo,Viseu,Viseu,Equestre_Equestre,Equestre,Equestre,2012 / 2013,4,2
Centro Hípico de São Brás,Portalegre,Elvas,Equestre_Equestre,Equestre,Equestre,2012 / 2013,11,7
Centro Hípico de Vinha de Mouros,Braga,Cabeceiras de Basto,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,1
Centro Hípico do Capelo,Açores,Horta,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,1
Centro Hípico do Mosteiro,Porto,Maia,Equestre_Equestre,Equestre,Equestre,2012 / 2013,15,20
Centro Hípico do Porto,Porto,Matosinhos,Equestre_Equestre,Equestre,Equestre,2012 / 2013,139,254
Centro Hípico e Turístico Vale do Sousa,Porto,Lousada,Equestre_Equestre,Equestre,Equestre,2012 / 2013,15,24
Centro Hípico Gala'Op,Setúbal,Montijo,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,0
Centro Hípico Irmão Pedro Coelho,Braga,Barcelos,Equestre_Equestre,Equestre,Equestre,2012 / 2013,16,9
Centro Hípico Lebreiro da Azambuja,Lisboa,Azambuja,Equestre_Equestre,Equestre,Equestre,2012 / 2013,12,21
Centro Hípico Quinta Almadena Unipessoa Lda.,Faro,São Brás de Alportel,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,1
Centro Hípico Quinta Beldade Stables,Faro,Tavira,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,8
Centro Hípico Quinta da Beloura/ Lusoquitania - Actividades Hípicas e Turísticas SA,Lisboa,Sintra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,22,19
Centro Hípico Quinta Vale do Lena,Leiria,Leiria,Equestre_Equestre,Equestre,Equestre,2012 / 2013,3,13
Centro Hípico Santa Bárbara,Santarém,Constância,Equestre_Equestre,Equestre,Equestre,2012 / 2013,13,15
Centro Infantil de São Roque,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,19
Centro Infantil e Social de Cesar,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,14
Centro Internacional de Ténis de Leiria,Leiria,Leiria,Ténis_Ténis,Ténis,Ténis,2012 / 2013,222,109
Centro Juvenil Salesiano,Aveiro,Arouca,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,51,0
Centro Juvenil Salesiano,Aveiro,Arouca,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,13,4
Centro Juvenil Salesiano,Aveiro,Arouca,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,24,21
Centro Juvenil Salesiano,Aveiro,Arouca,Ténis_Ténis,Ténis,Ténis,2012 / 2013,2,0
Centro Municipal de Cultura e Desenvolvimento de Vila Velha de Ródão,Castelo Branco,Vila Velha de Ródão,Ténis_Ténis,Ténis,Ténis,2012 / 2013,23,3
Centro Norton de Matos,Coimbra,Coimbra,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,8,0
Centro Norton de Matos,Coimbra,Coimbra,Futebol_Futsal,Futebol,Futsal,2012 / 2013,25,0
Centro Norton de Matos,Coimbra,Coimbra,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,8
Centro Norton de Matos,Coimbra,Coimbra,Ginástica_Ginástica Rítmica,Ginástica,Ginástica Rítmica,2012 / 2013,0,38
Centro Norton de Matos,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,29,15
Centro Nuno Belmar da Costa,Lisboa,Oeiras,FPDD_FPDD,FPDD,FPDD,2012 / 2013,10,2
Centro Paroquial Columbófilo de Vila Verde,Porto,Felgueiras,Columbofilia_Columbofilia,Columbofilia,Columbofilia,2012 / 2013,40,1
Centro Paroquial e Social de Macinhata da Seixa,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,25,12
"Centro Popular de Cultura e Desporto ""Todos no Trilho""",Lisboa,Vila Franca de Xira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,15,1
Centro Popular de Cultura e Desporto (Vila Franca de Xira),Lisboa,Vila Franca de Xira,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,1,0
Centro Popular de Cultura e Desporto (Vila Franca de Xira),Lisboa,Vila Franca de Xira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,55,0
Centro Popular de Trabalhadores - Clube Atlético Operário,Beja,Beja,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,12,0
Centro Popular de Trabalhadores da Riba D´Ave,Braga,Vila Nova de Famalicão,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,12,0
Centro Popular de Trabalhadores do Bairro São João Atlético Clube,Lisboa,Lisboa,Futebol_Futsal,Futebol,Futsal,2012 / 2013,37,0
Centro Popular de Trabalho do Bairro da Boa-Fé,Portalegre,Portalegre,Judo_Judo,Judo,Judo,2012 / 2013,13,7
Centro Popular dos Trabalhadores do Bairro de Carcavelos,Porto,Matosinhos,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,13,4
Centro Popular e Recreativo da Pocariça,Leiria,Leiria,Futebol_Futsal,Futebol,Futsal,2012 / 2013,28,10
Centro Popular e Recreativo de A-do-Barbas,Leiria,Leiria,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,14,8
Centro Popular e Recreativo de A-do-Barbas,Leiria,Leiria,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,6,0
"Centro Recreativo Amadores de Música ""Os Leões""",Beja,Moura,Damas_Damas,Damas,Damas,s/d,0,0
"Centro Recreativo Amadores de Música ""Os Leões""",Beja,Moura,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Centro Recreativo de Antes,Aveiro,Mealhada,Futebol_Futebol 11,Futebol,Futebol 11,s/d,0,0
Centro Recreativo de Bougado,Porto,Trofa,Futebol_Futsal,Futebol,Futsal,2012 / 2013,13,0
Centro Recreativo de Estarreja,Aveiro,Estarreja,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,6,6
